RNA1 chromosome	Start of RNA1 first read	Start of RNA1 last read	RNA1 strand	RNA2 chromosome	Start of RNA2 last read	Start of RNA2 first read	RNA2 strand	interactions	other interactions of RNA1	other interactions of RNA2	total other interactions	odds ratio	Fisher's exact test p-value
NC_000913.3	4180605	4181046	+	NC_000913.3	2001910	2002098	-	431	16045	49180	4986932	2.7238455031478543	8.966059568140224e-63
NC_000913.3	4277318	4277423	-	NC_000913.3	1622817	1622875	-	281	410	192957	4858940	17.25851646209057	1.5959639378612588e-197
NC_000913.3	1277502	1277582	-	NC_000913.3	2167159	2167200	+	164	45	456201	4596178	36.71740171060076	1.819890359522409e-120
NC_000913.3	2286207	2286276	+	NC_000913.3	507240	507288	+	164	389	826081	4225954	2.1567329761562033	8.898106854507981e-08
NC_000913.3	2942801	2942951	+	NC_000913.3	3937209	3937597	+	189	81331	2560	4968508	4.510157623630596	8.063374628428284e-53
NC_000913.3	1924707	1925020	-	NC_000913.3	1409167	1409250	+	279	1782	113774	4936753	6.79352026603156	3.02132143510942e-117
NC_000913.3	2007313	2007779	+	NC_000913.3	2167139	2167201	+	311	301	459698	4592278	10.321657643529626	6.501936542355356e-147
NC_000913.3	4329801	4329900	+	NC_000913.3	507240	507288	+	162	329	826083	4226014	2.518989534478911	2.2824276899871312e-12
NC_000913.3	601	666	+	NC_000913.3	507262	507288	+	161	22	826084	4226321	37.440484865945834	4.1162784975990343e-94
NC_000913.3	971726	971997	+	NC_000913.3	3350612	3350698	+	316	1548	291700	4759024	3.3304091581117197	8.739843909586274e-58
NC_000913.3	3315112	3315600	-	NC_000913.3	1140814	1141064	+	402	6898	152746	4892542	1.8666701362831517	1.2125596181219486e-21
NC_000913.3	3448001	3448085	-	NC_000913.3	2167136	2167200	+	161	562	456204	4595661	2.8858812530674376	1.8387345920443507e-19
NC_000913.3	3563101	3563196	+	NC_000913.3	1622817	1622881	-	161	629	193077	4858721	6.4411980070094526	2.936796048081023e-60
NC_000913.3	4180401	4180494	+	NC_000913.3	2167138	2167201	+	162	695	459847	4591884	2.3275968502066524	1.1433858497246228e-11
NC_000913.3	128901	129097	+	NC_000913.3	1622817	1622886	-	205	509	193033	4858841	10.137647962856844	3.1401295506183283e-108
NC_000913.3	1133011	1133196	+	NC_000913.3	2942806	2942902	+	308	1625	391902	4658753	2.2531471549205984	1.425960217754211e-25
NC_000913.3	1958482	1958776	-	NC_000913.3	1151475	1151864	+	275	1877	4109	5046327	179.93169417859855	0.0
NC_000913.3	4107601	4108099	+	NC_000913.3	2167149	2167201	+	373	474	459636	4592105	7.86191353932499	1.6082816473672213e-150
NC_000913.3	4465302	4465793	-	NC_000913.3	2167140	2167200	+	438	2506	455927	4593717	1.761010593659413	1.0997268787614358e-17
NC_000913.3	21913	22219	+	NC_000913.3	1491441	1491498	-	260	1057	23072	5028199	53.60750255544898	0.0
NC_000913.3	3350622	3350655	+	NC_000913.3	2351702	2351899	-	228	72450	2085	4977825	7.513287754889256	4.923250175017475e-105
NC_000913.3	3855527	3855726	-	NC_000913.3	2942801	2942903	+	277	326	391933	4660052	10.102784751976278	3.3381941136498436e-133
NC_000913.3	1646775	1647100	-	NC_000913.3	507238	507288	+	160	400	826085	4225943	2.0462509305943093	5.806329904107967e-06
NC_000913.3	3442001	3442100	-	NC_000913.3	3350668	3350698	+	158	1204	291858	4759368	2.1399729523042756	3.799342767827401e-09
NC_000913.3	3445601	3445692	-	NC_000913.3	2942814	2942902	+	195	716	392015	4659662	3.237228231418861	6.0192372294961e-31
NC_000913.3	1409127	1409198	+	NC_000913.3	1770426	1770477	+	157	35990	10017	5006424	2.1802573524424984	9.617749269760673e-11
NC_000913.3	765110	765259	+	NC_000913.3	3350666	3350698	+	157	1473	291859	4759099	1.73799512787735	0.010362083798028688
NC_000913.3	1409128	1409200	+	NC_000913.3	2352001	2352290	-	201	35946	9554	5006887	2.9304076570511337	1.0851850311872352e-30
NC_000913.3	1912401	1912499	-	NC_000913.3	2167155	2167201	+	157	96	459852	4592483	16.33269669281276	3.462044388636971e-89
NC_000913.3	2414601	2414800	+	NC_000913.3	507239	507288	+	243	287	826002	4226056	4.3319010279539105	1.9764176483391096e-49
NC_000913.3	3674735	3674892	+	NC_000913.3	2942729	2942900	+	215	68	398110	4654195	36.96332542587254	1.334819531434975e-166
NC_000913.3	3890102	3890497	+	NC_000913.3	1140817	1141064	+	414	9233	152734	4890207	1.435651479205802	9.658112759419293e-05
NC_000913.3	3933309	3933399	+	NC_000913.3	2976101	2976324	-	258	1987	30858	5019485	21.120939127858204	2.4596473728458983e-223
NC_000913.3	2002739	2002796	-	NC_000913.3	324602	324629	-	155	2192	6822	5043419	52.27625689589499	2.751176868947287e-192
NC_000913.3	2924201	2924500	-	NC_000913.3	2167154	2167201	+	363	1918	459646	4590661	1.8902087112811308	5.600714285419042e-18
NC_000913.3	2942695	2942859	+	NC_000913.3	2311907	2312299	-	923	222696	6428	4822541	3.1094912931721668	2.5411451320081865e-165
NC_000913.3	3933702	3933786	+	NC_000913.3	324602	324639	-	155	212	6822	5045399	540.7289713358003	0.0
NC_000913.3	4257101	4257300	+	NC_000913.3	2942804	2942902	+	306	597	391904	4659781	6.0944273656598495	1.706786645118685e-104
NC_000913.3	196314	196645	+	NC_000913.3	2167149	2167201	+	223	362	459786	4592217	6.15266049305234	4.077620715708291e-73
NC_000913.3	1496777	1496841	+	NC_000913.3	3350662	3350698	+	273	40	291743	4760532	111.36730238600413	8.811342938314016e-282
NC_000913.3	1705910	1706097	+	NC_000913.3	507234	507288	+	248	68	825997	4226275	18.66044734958089	1.4576148887469948e-123
NC_000913.3	1999503	1999590	-	NC_000913.3	2942718	2942900	+	216	245	398109	4654018	10.306559853544366	5.040426470935552e-104
NC_000913.3	2470227	2470300	+	NC_000913.3	507245	507288	+	154	119	826091	4226224	6.620615717667339	7.475416366928754e-44
NC_000913.3	2814302	2814800	-	NC_000913.3	2167140	2167200	+	264	550	456101	4595673	4.8364792885786265	1.8655812023746864e-70
NC_000913.3	2942695	2942869	+	NC_000913.3	2425611	2426062	-	522	223097	378	4828591	29.888587646159465	0.0
NC_000913.3	4592517	4592600	+	NC_000913.3	3350608	3350698	+	154	1035	291862	4759537	2.4264286440448313	4.273089400175576e-13
NC_000913.3	1409128	1409200	+	NC_000913.3	2405002	2405198	-	189	35958	3093	5013348	8.519501979596953	2.8325894493437084e-96
NC_000913.3	2404801	2404898	-	NC_000913.3	1622817	1622858	-	153	684	193085	4858666	5.628644733775553	2.0204172466457437e-50
NC_000913.3	2942655	2942907	+	NC_000913.3	932501	932887	+	504	223310	825	4827949	13.207818434219043	1.0983299474659e-310
NC_000913.3	3350624	3350660	+	NC_000913.3	1019127	1019298	-	279	72399	986	4978924	19.45943461223045	1.6024525111410862e-225
NC_000913.3	3967725	3967898	+	NC_000913.3	2167146	2167201	+	206	212	459803	4592367	9.70501355810337	3.1834660881381606e-92
NC_000913.3	4010010	4010442	+	NC_000913.3	77540	77595	+	175	375	6603	5045435	356.585844818012	0.0
NC_000913.3	4612380	4612400	+	NC_000913.3	2167150	2167201	+	153	29	459856	4592550	52.68966881986445	2.422647180191925e-120
NC_000913.3	2942695	2942699	+	NC_000913.3	3710407	3710491	-	151	65401	3366	4983670	3.418438129892443	2.9081432725812624e-28
NC_000913.3	4026714	4026891	+	NC_000913.3	3350644	3350698	+	234	405	291782	4760167	9.425936867631009	7.844506157006702e-113
NC_000913.3	1801207	1801370	-	NC_000913.3	2167155	2167200	+	249	264	456116	4595959	9.503777473075031	1.9822984618399526e-111
NC_000913.3	2448537	2448695	+	NC_000913.3	507239	507288	+	294	568	825951	4225775	2.648201826964431	7.887064339937084e-30
NC_000913.3	2598411	2598775	-	NC_000913.3	2167137	2167201	+	243	348	459766	4592231	6.974513253143615	2.1343849991072579e-88
NC_000913.3	2942695	2942861	+	NC_000913.3	2282501	2282847	+	471	223148	829	4828140	12.292868404797387	1.2402556095573514e-279
NC_000913.3	3452201	3452300	-	NC_000913.3	3350663	3350698	+	150	1288	291866	4759284	1.8990373698676406	9.046380767743064e-05
NC_000913.3	21408	21899	+	NC_000913.3	1622818	1622872	-	283	617	192955	4858733	11.549635245106947	2.8297639274316805e-163
NC_000913.3	1314001	1314188	+	NC_000913.3	2167148	2167200	+	198	579	456167	4595644	3.4451579755623314	7.518574080564266e-34
NC_000913.3	1668224	1668602	-	NC_000913.3	2167146	2167201	+	315	636	459694	4591943	4.947446326272333	6.933026350779455e-87
NC_000913.3	2172508	2172894	-	NC_000913.3	2167153	2167201	+	468	963	459541	4591616	4.855800791228354	2.9033984267333993e-129
NC_000913.3	2550102	2550591	-	NC_000913.3	2167140	2167201	+	506	1079	459503	4591500	4.685924745258626	2.423066180080518e-135
NC_000913.3	3562402	3562598	+	NC_000913.3	2167141	2167202	+	298	2053	459711	4590526	1.4494554464909737	0.03717273925312494
NC_000913.3	3918309	3918391	-	NC_000913.3	2167140	2167201	+	150	247	459859	4592332	6.064610211052811	7.850040491397941e-47
NC_000913.3	4464801	4464891	-	NC_000913.3	2167146	2167201	+	150	720	459859	4591859	2.0802839384825926	6.428801614436685e-07
NC_000913.3	576716	576871	-	NC_000913.3	1409201	1409250	+	218	2008	103120	4947242	5.20850440364222	2.0549250259010894e-71
NC_000913.3	1020002	1020098	-	NC_000913.3	4218853	4218964	+	153	10139	28149	5014147	2.688007021068556	1.793230194609853e-18
NC_000913.3	1130507	1130599	-	NC_000913.3	2167165	2167201	+	150	397	459859	4592182	3.773072529191581	8.602503283817569e-28
NC_000913.3	1341739	1341799	+	NC_000913.3	3350664	3350698	+	148	89	291868	4760483	27.122907646568873	3.6347797668292123e-112
NC_000913.3	2167112	2167176	+	NC_000913.3	4117301	4117397	-	148	45509	676	5006255	24.084115099932767	1.0875260722803372e-131
NC_000913.3	2811315	2811583	+	NC_000913.3	4106353	4106388	+	262	391	56489	4995446	59.256352604963624	8.7958013e-317
NC_000913.3	3852901	3853019	-	NC_000913.3	686638	686849	-	406	6555	86745	4958882	3.5407287736190214	1.69893265407256e-88
NC_000913.3	4294420	4294598	+	NC_000913.3	3350662	3350698	+	192	373	291824	4760199	8.396465341701422	5.498294614021524e-85
NC_000913.3	456501	456795	+	NC_000913.3	2167146	2167201	+	186	320	459823	4592259	5.804952218027371	3.67015685731847e-57
NC_000913.3	780764	780816	+	NC_000913.3	1405656	1405699	-	217	7657	83222	4961492	1.689566280794056	2.217709034585218e-05
NC_000913.3	986601	986700	-	NC_000913.3	1405658	1405714	-	162	1737	85976	4964713	5.385575369629602	5.253991652001602e-54
NC_000913.3	2268825	2268994	+	NC_000913.3	2167156	2167201	+	165	110	459844	4592469	14.980522742495282	1.1368209116229037e-90
NC_000913.3	3324109	3324294	-	NC_000913.3	507242	507288	+	278	259	825967	4226084	5.4918726852012325	4.616025239680357e-72
NC_000913.3	3553023	3553082	+	NC_000913.3	4218860	4218966	+	153	657	28149	5023629	41.56048902197066	1.018140679329882e-170
NC_000913.3	507203	507255	+	NC_000913.3	3664901	3664970	+	146	92134	3559	4956749	2.2069976409563083	8.156784917332039e-10
NC_000913.3	2746201	2746563	-	NC_000913.3	2167147	2167201	+	241	973	459768	4591606	2.4736034392644126	3.20484879168431e-23
NC_000913.3	3247514	3247961	+	NC_000913.3	1622817	1622873	-	270	1708	192968	4857642	3.979386360258055	3.138205092338839e-64
NC_000913.3	270256	270698	+	NC_000913.3	2942722	2942903	+	278	244	440863	4611203	11.91696214090969	2.478421370381938e-142
NC_000913.3	1166047	1166383	+	NC_000913.3	2167148	2167201	+	276	203	459733	4592376	13.581408244894854	8.476696966924308e-149
NC_000913.3	1319505	1319946	-	NC_000913.3	2942713	2942902	+	349	362	440792	4611085	10.085240997395045	5.97412915340377e-165
NC_000913.3	1757501	1757600	+	NC_000913.3	1405658	1405718	-	150	3752	85988	4962698	2.307323179323976	7.672696563650708e-12
NC_000913.3	1907305	1907796	-	NC_000913.3	2167143	2167200	+	331	1484	456034	4594739	2.2472827412014853	4.190726008091646e-27
NC_000913.3	2312806	2313137	-	NC_000913.3	4106346	4106387	+	146	4429	56605	4991408	2.9068020079253367	2.336847710636602e-20
NC_000913.3	3982508	3982922	+	NC_000913.3	1491441	1491477	-	242	12057	23090	5017199	4.3612752734745275	8.655644065638495e-68
NC_000913.3	4126853	4127080	+	NC_000913.3	2167145	2167201	+	248	572	459761	4592007	4.330380562731719	1.9225527311997535e-58
NC_000913.3	4516324	4516709	-	NC_000913.3	2942732	2942902	+	303	967	440838	4610480	3.2770515520893357	4.24835494143472e-51
NC_000913.3	584701	584796	-	NC_000913.3	2942725	2942902	+	192	1228	440949	4610219	1.6346924474258928	0.02639011969703409
NC_000913.3	1619352	1619795	+	NC_000913.3	1409154	1409250	+	351	655	113702	4937880	23.272243057753354	4.6804276503896254e-297
NC_000913.3	2394603	2394898	-	NC_000913.3	2167149	2167201	+	298	416	459711	4592163	7.155752859697974	1.150010839459642e-111
NC_000913.3	2754831	2754896	+	NC_000913.3	1991745	1991869	-	148	1038	1838	5049564	391.71728506104273	1.0634832978242999e-307
NC_000913.3	3562102	3562200	+	NC_000913.3	1622817	1622884	-	144	1775	193094	4857575	2.0408677843105534	5.864128614813283e-07
NC_000913.3	3884226	3884400	+	NC_000913.3	507234	507288	+	169	460	826076	4225883	1.8794307877136054	0.00033215662775246227
NC_000913.3	3893549	3893700	-	NC_000913.3	507240	507288	+	164	20	826081	4226323	41.95211922317545	1.5097977538500612e-97
NC_000913.3	4153119	4153189	-	NC_000913.3	2167140	2167201	+	145	408	459864	4592171	3.5489221951980348	2.138953525045998e-24
NC_000913.3	4327018	4327487	+	NC_000913.3	1405657	1405700	-	222	685	83217	4968464	19.349622432039215	1.863887923486682e-176
NC_000913.3	4425024	4425099	+	NC_000913.3	468160	468271	+	149	17128	2074	5033237	21.11145872790813	2.5336777132303164e-128
NC_000913.3	105227	105700	+	NC_000913.3	107102	107555	+	237	3628	495	5048228	666.215649326785	0.0
NC_000913.3	852276	852394	-	NC_000913.3	2167153	2167200	+	151	22	456214	4596201	69.14880367148272	1.7743864109167796e-124
NC_000913.3	1132701	1133192	+	NC_000913.3	3350621	3350698	+	370	3389	291646	4757183	1.7808362570510168	1.7960798414359416e-15
NC_000913.3	2226059	2226488	+	NC_000913.3	2167156	2167201	+	188	68	459821	4592511	27.612793187937456	7.60385156460037e-129
NC_000913.3	2449011	2449176	+	NC_000913.3	507237	507288	+	200	256	826045	4226087	3.9969135685707196	3.836799223613565e-36
NC_000913.3	2819102	2819600	-	NC_000913.3	2167140	2167201	+	224	762	459785	4591817	2.935775351123401	4.3807271908108704e-30
NC_000913.3	584910	585100	-	NC_000913.3	1622817	1622884	-	205	2106	193033	4857244	2.4493669552459156	1.2422147244034214e-20
NC_000913.3	1134903	1134990	+	NC_000913.3	3350641	3350698	+	142	682	291874	4759890	3.3955136146503744	9.391366524626157e-24
NC_000913.3	1405702	1405753	-	NC_000913.3	2003203	2003298	-	142	34851	4904	5012691	4.164794457298825	2.2929974587163532e-35
NC_000913.3	4118604	4118797	+	NC_000913.3	1622817	1622877	-	203	806	193035	4858544	6.33915069979531	2.5157591997723233e-76
NC_000913.3	923048	923100	+	NC_000913.3	2167155	2167209	+	142	709	459867	4591870	1.9998593264699458	1.2236896257497967e-05
NC_000913.3	1794118	1794196	-	NC_000913.3	3350671	3350698	+	141	66	291875	4760506	34.84427206540783	1.0481186856834315e-114
NC_000913.3	2269810	2270264	+	NC_000913.3	1201195	1201279	-	160	1396	1537	5049495	376.5378542279922	0.0
NC_000913.3	2635122	2635560	-	NC_000913.3	2167168	2167201	+	179	93	459830	4592486	19.22297590577537	4.92182412785482e-109
NC_000913.3	2849904	2850029	-	NC_000913.3	4106366	4106388	+	142	11	56609	4995826	1139.2459149605186	3.606849351979822e-254
NC_000913.3	3350576	3350656	+	NC_000913.3	2716134	2716483	-	267	73903	3838	4974580	4.682746436558598	2.9522739016256396e-80
NC_000913.3	3437991	3438199	+	NC_000913.3	2167029	2167201	+	206	214	459819	4592349	9.613940271866014	1.0231644935534975e-91
NC_000913.3	3485603	3485952	-	NC_000913.3	2167140	2167201	+	242	439	459767	4592140	5.50589809744822	1.628341113126304e-72
NC_000913.3	4185601	4185900	+	NC_000913.3	2167150	2167200	+	310	720	456055	4595503	4.338554225306646	1.2278983176195739e-74
NC_000913.3	4518404	4518651	+	NC_000913.3	1622817	1622879	-	178	205	193060	4859145	21.854138862428716	9.096095806671169e-136
NC_000913.3	4543001	4543191	+	NC_000913.3	2167148	2167200	+	242	952	456123	4595271	2.5609881793826177	2.975099418238286e-25
NC_000913.3	771302	771460	+	NC_000913.3	4106334	4106388	+	239	760	56512	4995077	27.7962249983236	3.7944627796560985e-226
NC_000913.3	795003	795176	+	NC_000913.3	2001911	2001929	-	164	219	43922	5008283	85.389896451971	5.909190326963835e-220
NC_000913.3	1133310	1133385	+	NC_000913.3	1770453	1770477	+	140	838	10034	5041576	83.94140590250903	4.453552801258029e-199
NC_000913.3	1140602	1140700	+	NC_000913.3	1622817	1622883	-	140	1695	193098	4857655	2.0778166624610592	6.250540703903042e-07
NC_000913.3	2000630	2001099	-	NC_000913.3	1770454	1770839	+	276	4381	9905	5038026	32.04363332507947	1.6586923409299178e-289
NC_000913.3	3265910	3266351	-	NC_000913.3	1141007	1141064	+	303	4989	147513	4899783	2.017324094582587	8.752548891872153e-20
NC_000913.3	412414	412490	-	NC_000913.3	4106358	4106388	+	139	391	56612	4995446	31.36922675336743	2.1548545291694578e-135
NC_000913.3	1020299	1020381	-	NC_000913.3	1121199	1121267	-	146	87	2299	5050056	3686.301270417423	0.0
NC_000913.3	1504672	1504898	+	NC_000913.3	507239	507288	+	199	330	826046	4226013	3.0850750442469304	1.0220889971939296e-24
NC_000913.3	2044376	2044600	+	NC_000913.3	4250468	4250534	+	167	41337	6269	5004815	3.225278897946985	3.4483512653950944e-29
NC_000913.3	2942693	2942861	+	NC_000913.3	1019301	1019776	-	506	223113	2742	4826227	3.9917739119108666	5.529618380335115e-124
NC_000913.3	2942695	2942857	+	NC_000913.3	3804931	3805187	-	345	223274	376	4828593	19.843290833474526	7.518361254013937e-253
NC_000913.3	3350641	3350667	+	NC_000913.3	4026811	4026897	+	139	72539	167	4979743	57.13913935869146	2.079233799016124e-160
NC_000913.3	1333761	1333899	+	NC_000913.3	4106352	4106387	+	176	763	56575	4995074	20.365988478393948	3.8395895378396244e-145
NC_000913.3	2025262	2025313	-	NC_000913.3	4180901	4181054	+	174	3606	4984	5043824	48.8321016604215	8.175197024868627e-212
NC_000913.3	2086416	2086704	-	NC_000913.3	2167136	2167201	+	250	125	459759	4592454	19.97765785987876	1.5229319174628658e-156
NC_000913.3	2421301	2421397	+	NC_000913.3	1409152	1409250	+	259	275	113794	4938260	40.871601793991374	1.515577093726016e-263
NC_000913.3	3348079	3348433	-	NC_000913.3	507241	507288	+	179	59	826066	4226284	15.521902444122842	3.910296785918817e-82
NC_000913.3	3785227	3785390	+	NC_000913.3	2167140	2167201	+	262	323	459747	4592256	8.102255890760109	2.8688878836323926e-106
NC_000913.3	507112	507255	+	NC_000913.3	3890307	3890599	+	264	92057	4714	4955553	3.0147385626941055	2.4560154613528975e-43
NC_000913.3	771703	771881	+	NC_000913.3	2167146	2167200	+	199	371	456166	4595852	5.40408646575708	9.165278532684893e-58
NC_000913.3	1491329	1491515	-	NC_000913.3	686670	686790	-	349	5448	83393	4963398	3.8127456291955752	2.6173679282504116e-83
NC_000913.3	2737096	2737199	+	NC_000913.3	765034	765149	+	164	7252	55671	4989501	2.0268151606114175	1.0854991953711849e-08
NC_000913.3	3342410	3342519	+	NC_000913.3	3350663	3350698	+	199	81	291817	4760491	40.07829314812002	4.198603825636401e-170
NC_000913.3	641114	641343	+	NC_000913.3	1409164	1409249	+	242	855	113811	4937680	12.279705540338473	1.3881612336798756e-150
NC_000913.3	641301	641339	+	NC_000913.3	507238	507288	+	136	342	826109	4226001	2.034253370371052	0.00043487268137642647
NC_000913.3	686724	687069	-	NC_000913.3	3852820	3852993	-	265	103800	3680	4944843	3.430466708029656	3.555624068310871e-53
NC_000913.3	2003606	2003677	-	NC_000913.3	4242530	4242897	-	139	12309	12833	5027307	4.423838268535952	1.7656747455014931e-37
NC_000913.3	2976136	2976190	-	NC_000913.3	686676	686830	-	215	5480	86936	4959957	2.2383920712039864	8.962474259307302e-18
NC_000913.3	3890406	3890495	+	NC_000913.3	765111	765149	+	136	3919	48529	5000004	3.5754660152200843	3.695351520570419e-27
NC_000913.3	95933	96396	+	NC_000913.3	2167146	2167201	+	289	222	459720	4592357	13.004303961361519	5.490886736095068e-153
NC_000913.3	660201	660500	-	NC_000913.3	2942728	2942895	+	204	204	398121	4654059	11.69006156419782	2.2114915333533112e-104
NC_000913.3	986531	986682	-	NC_000913.3	1770454	1770478	+	258	3029	9916	5039385	43.28739523586106	5.718162163156464e-302
NC_000913.3	1150539	1150783	+	NC_000913.3	4106342	4106387	+	241	11966	56510	4983871	1.7762722437219856	7.40499342261149e-09
NC_000913.3	1622855	1622915	-	NC_000913.3	847637	848099	-	298	32713	791	5018786	57.79870190825214	0.0
NC_000913.3	1715909	1715998	-	NC_000913.3	3350665	3350698	+	135	156	291881	4760416	14.113939479550808	1.0826694872207725e-78
NC_000913.3	1973003	1973300	-	NC_000913.3	2167146	2167201	+	300	1051	459709	4591528	2.8509708016401447	5.201020542724782e-40
NC_000913.3	2866701	2866899	-	NC_000913.3	2167143	2167200	+	207	1184	456158	4595039	1.7611345980553443	1.8710989535188204e-05
NC_000913.3	3054709	3054893	-	NC_000913.3	3350662	3350698	+	193	519	291823	4760053	6.065718083117358	1.3954422264566017e-66
NC_000913.3	3266601	3266700	-	NC_000913.3	1405657	1405710	-	143	2915	85995	4963535	2.8314921775838218	1.3955543364183591e-18
NC_000913.3	3889601	3890098	+	NC_000913.3	3888503	3888996	+	941	14621	16174	5020852	19.978943898583513	0.0
NC_000913.3	4118105	4118162	-	NC_000913.3	4049924	4050007	+	261	1296	27233	5023798	37.15114373084942	7.169499208839223e-284
NC_000913.3	1405701	1405752	-	NC_000913.3	1517022	1517188	-	147	34846	535	5017060	39.560330876416984	1.036094508169541e-159
NC_000913.3	1555102	1555600	-	NC_000913.3	2942717	2942900	+	313	1967	398012	4652296	1.8599923163623975	3.588520711441615e-14
NC_000913.3	2405805	2406300	-	NC_000913.3	1405657	1405723	-	212	289	85926	4966161	42.3969112554965	2.6860481080849164e-224
NC_000913.3	2755585	2755993	+	NC_000913.3	507238	507288	+	490	1024	825755	4225319	2.4485242742815667	1.0425013858517647e-45
NC_000913.3	3046904	3046954	-	NC_000913.3	2167164	2167200	+	134	74	456231	4596149	18.242417322140096	7.339887626659094e-79
NC_000913.3	3473301	3473399	-	NC_000913.3	2167160	2167200	+	134	262	456231	4595961	5.15222772594056	2.141204572907585e-35
NC_000913.3	1140934	1140998	+	NC_000913.3	2755401	2755441	+	133	20242	600	5031613	55.10033008925337	8.100485909002133e-164
NC_000913.3	1441020	1441197	+	NC_000913.3	507239	507288	+	206	609	826039	4225734	1.7304200209013378	0.0010018569156016353
NC_000913.3	1647075	1647436	-	NC_000913.3	3350653	3350698	+	226	701	291790	4759871	5.259145666824367	2.966270425531276e-69
NC_000913.3	2098303	2098486	-	NC_000913.3	2942814	2942902	+	164	259	392046	4660119	7.526690597748586	2.7295940494220356e-63
NC_000913.3	2716301	2716499	-	NC_000913.3	4049923	4050008	+	286	4992	27208	5020102	10.570788386381457	4.228540364755279e-172
NC_000913.3	3741416	3741618	-	NC_000913.3	3845730	3845762	-	206	357	35869	5016156	80.69576992468626	7.562882059562076e-278
NC_000913.3	91011	91197	+	NC_000913.3	507240	507288	+	189	418	826056	4225925	2.3131181561285765	3.021846407988494e-12
NC_000913.3	507203	507256	+	NC_000913.3	3710101	3710538	-	233	92047	5454	4954854	2.2996514204855143	3.5963090107181364e-21
NC_000913.3	3351713	3351788	-	NC_000913.3	2167151	2167200	+	132	99	456233	4596124	13.432095734708653	4.050011948806353e-68
NC_000913.3	3709407	3709485	-	NC_000913.3	1622817	1622863	-	132	237	193106	4859113	14.014797146238434	1.9540044011840646e-81
NC_000913.3	4117627	4118023	-	NC_000913.3	4158278	4158339	-	211	3864	1883	5046630	146.35126565576934	0.0
NC_000913.3	71708	71999	+	NC_000913.3	2167142	2167201	+	203	135	459806	4592444	15.018671030503848	6.304326764814892e-113
NC_000913.3	233901	233988	-	NC_000913.3	1405656	1405710	-	134	341	86004	4966109	22.690706399661423	1.1627420423295996e-111
NC_000913.3	1068615	1068883	-	NC_000913.3	2167153	2167200	+	135	59	456230	4596164	23.05119444288619	2.6381012645556107e-86
NC_000913.3	1343037	1343374	-	NC_000913.3	1770430	1770481	+	142	63	10032	5042351	1132.90461317435	0.0
NC_000913.3	1492203	1492600	+	NC_000913.3	2167146	2167202	+	220	480	459789	4592099	4.57756066732059	1.7042030133894522e-54
NC_000913.3	1671007	1671154	-	NC_000913.3	1405657	1405725	-	210	439	85928	4966011	27.645710006936994	3.1862788453801255e-192
NC_000913.3	1972601	1972897	-	NC_000913.3	1405657	1405710	-	232	2257	85906	4964193	5.9399335422636526	3.6709411984678454e-87
NC_000913.3	2174103	2174498	-	NC_000913.3	4106355	4106387	+	212	2653	56539	4993184	7.057129034288844	4.2947353367167345e-93
NC_000913.3	3266022	3266196	-	NC_000913.3	4049923	4050008	+	317	2211	27177	5022883	26.4985473972183	2.510522041111471e-304
NC_000913.3	507203	507256	+	NC_000913.3	1150612	1150900	+	275	92005	1155	4959153	12.833549418898041	1.9458772831591453e-178
NC_000913.3	1131405	1131599	+	NC_000913.3	2167142	2167209	+	262	1077	459747	4591502	2.4295255006619554	1.1223680585246859e-24
NC_000913.3	3245004	3245089	+	NC_000913.3	507238	507288	+	130	348	826115	4225995	1.9109643247047303	0.02754001547241794
NC_000913.3	3965503	3965698	-	NC_000913.3	2942728	2942900	+	282	332	398043	4653931	9.931182754396971	5.709507302571489e-134
NC_000913.3	4074628	4074686	+	NC_000913.3	507237	507288	+	130	17	826115	4226326	39.121627775081876	3.825888808640219e-75
NC_000913.3	4592202	4592400	+	NC_000913.3	2167140	2167201	+	191	372	459818	4592207	5.127739045373586	1.9772107266694276e-52
NC_000913.3	214005	214165	-	NC_000913.3	3350613	3350698	+	222	219	291794	4760353	16.53756867882305	1.1334220828801532e-142
NC_000913.3	2003440	2003677	-	NC_000913.3	2002401	2002500	-	219	64376	1870	4986123	9.070714706513671	3.2940451603176973e-116
NC_000913.3	3104508	3104589	+	NC_000913.3	2167175	2167200	+	129	135	456236	4596088	9.626196578573857	1.4888173775424298e-55
NC_000913.3	4248603	4248691	+	NC_000913.3	1141031	1141064	+	129	287	147687	4904485	14.92653334629039	1.5499103055460247e-84
NC_000913.3	1019935	1020186	-	NC_000913.3	3258235	3258282	-	211	28563	2916	5020898	12.71957248307318	1.4222478176085264e-140
NC_000913.3	1517059	1517245	-	NC_000913.3	1770422	1770477	+	174	2089	10000	5040325	41.98260172331259	4.490976765141083e-200
NC_000913.3	2001007	2001100	-	NC_000913.3	3350670	3350698	+	128	873	291888	4759699	2.3908865796035057	1.6281309073259401e-09
NC_000913.3	2942695	2942946	+	NC_000913.3	4366805	4366900	-	207	223607	392	4828382	11.402511152264866	3.8246891220784166e-115
NC_000913.3	3913807	3913891	-	NC_000913.3	1141026	1141064	+	128	1852	147688	4902920	2.2944499308155666	6.994895966668851e-09
NC_000913.3	4106179	4106583	+	NC_000913.3	2351802	2352288	-	204	10774	11639	5029971	8.182820211385797	3.397127320970537e-102
NC_000913.3	4153113	4153189	-	NC_000913.3	2942819	2942902	+	156	397	392054	4659981	4.670596487383074	5.14296720606906e-39
